file,run,latency_ms,transcript,meta,reference,wer,model
atm_limit_01.wav,1,355.89500004425645,HOW MUCH MONEY CAN I THIK OUT ATHIATHIA,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 355.87039997335523}",how much money can I take out at the ATM,0.4,facebook_wav2vec2-base-960h
atm_limit_01.wav,2,356.73110000789165,HOW MUCH MONEY CAN I THIK OUT ATHIATHIA,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 356.70770006254315}",how much money can I take out at the ATM,0.4,facebook_wav2vec2-base-960h
atm_limit_01.wav,3,320.1994000701234,HOW MUCH MONEY CAN I THIK OUT ATHIATHIA,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 320.18190005328506}",how much money can I take out at the ATM,0.4,facebook_wav2vec2-base-960h
atm_limit_02.wav,1,217.31310000177476,HOW MUCH MONEY CAN I WITHDRAW AT THE A T M,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 217.29429997503757}",how much money can I withdraw at the ATM,0.3333333333333333,facebook_wav2vec2-base-960h
atm_limit_02.wav,2,204.1907000821084,HOW MUCH MONEY CAN I WITHDRAW AT THE A T M,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 204.17220005765557}",how much money can I withdraw at the ATM,0.3333333333333333,facebook_wav2vec2-base-960h
atm_limit_02.wav,3,252.82599998172373,HOW MUCH MONEY CAN I WITHDRAW AT THE A T M,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 252.80539994128048}",how much money can I withdraw at the ATM,0.3333333333333333,facebook_wav2vec2-base-960h
atm_limit_03.wav,1,268.80819990765303,WHAT IS MY LIMIT AT THE EIGTM,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 268.79010000266135}",what is my limit at the ATM,0.1428571428571428,facebook_wav2vec2-base-960h
atm_limit_03.wav,2,282.2699999669567,WHAT IS MY LIMIT AT THE EIGTM,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 282.2475000284612}",what is my limit at the ATM,0.1428571428571428,facebook_wav2vec2-base-960h
atm_limit_03.wav,3,293.9357999712229,WHAT IS MY LIMIT AT THE EIGTM,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 293.91620005480945}",what is my limit at the ATM,0.1428571428571428,facebook_wav2vec2-base-960h
balance_01.wav,1,238.2465999107808,GIM MA THING MIGHT COUNT BALLA,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 238.2274999981746}",can you see my account balance,1.0,facebook_wav2vec2-base-960h
balance_01.wav,2,258.0248999875039,GIM MA THING MIGHT COUNT BALLA,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 258.00569995772094}",can you see my account balance,1.0,facebook_wav2vec2-base-960h
balance_01.wav,3,217.88740006741136,GIM MA THING MIGHT COUNT BALLA,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 217.8688000421971}",can you see my account balance,1.0,facebook_wav2vec2-base-960h
balance_02.wav,1,236.94390000309795,WHAT IS MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 236.924699973315}",what is my account balance,0.0,facebook_wav2vec2-base-960h
balance_02.wav,2,262.5963999889791,WHAT IS MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 262.5767000718042}",what is my account balance,0.0,facebook_wav2vec2-base-960h
balance_02.wav,3,289.8724999977276,WHAT IS MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 289.8493999382481}",what is my account balance,0.0,facebook_wav2vec2-base-960h
balance_03.wav,1,274.46580003015697,SHOW ME MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 274.44710000418127}",show me my account balance,0.0,facebook_wav2vec2-base-960h
balance_03.wav,2,255.8914000401273,SHOW ME MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 255.87250001262873}",show me my account balance,0.0,facebook_wav2vec2-base-960h
balance_03.wav,3,286.3558999961242,SHOW ME MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 286.33400006219745}",show me my account balance,0.0,facebook_wav2vec2-base-960h
balance_04.wav,1,281.9301999406889,I WOULD LIKE TO KNOW WHAT MY CURRENT ACCOUNT BALANCE SHOWS,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 281.9104000227526}",I would like to know what my current account balance shows,0.0,facebook_wav2vec2-base-960h
balance_04.wav,2,290.5954000307247,I WOULD LIKE TO KNOW WHAT MY CURRENT ACCOUNT BALANCE SHOWS,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 290.5754999956116}",I would like to know what my current account balance shows,0.0,facebook_wav2vec2-base-960h
balance_04.wav,3,254.4796000001952,I WOULD LIKE TO KNOW WHAT MY CURRENT ACCOUNT BALANCE SHOWS,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 254.4600999681279}",I would like to know what my current account balance shows,0.0,facebook_wav2vec2-base-960h
balance_05.wav,1,308.3745000185445,WHAT'S MY CURRENT BALANTH,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 308.35389997810125}",what's my current balance,0.25,facebook_wav2vec2-base-960h
balance_05.wav,2,307.543299975805,WHAT'S MY CURRENT BALANTH,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 307.523800060153}",what's my current balance,0.25,facebook_wav2vec2-base-960h
balance_05.wav,3,271.4385000290349,WHAT'S MY CURRENT BALANTH,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 271.41909999772906}",what's my current balance,0.25,facebook_wav2vec2-base-960h
balance_06.wav,1,281.75460000056773,ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 281.73389995936304}",account balance,0.0,facebook_wav2vec2-base-960h
balance_06.wav,2,262.5416000373661,ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 262.52150000073016}",account balance,0.0,facebook_wav2vec2-base-960h
balance_06.wav,3,279.1090999962762,ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 279.0888000745326}",account balance,0.0,facebook_wav2vec2-base-960h
balance_07.wav,1,205.32209996599704,SHOW ME MY ACCOUNT BALANCE PLEASE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 205.3047000663355}",show me my account balance please,0.0,facebook_wav2vec2-base-960h
balance_07.wav,2,231.71640001237392,SHOW ME MY ACCOUNT BALANCE PLEASE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 231.69689998030663}",show me my account balance please,0.0,facebook_wav2vec2-base-960h
balance_07.wav,3,206.00270002614707,SHOW ME MY ACCOUNT BALANCE PLEASE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 205.97600005567074}",show me my account balance please,0.0,facebook_wav2vec2-base-960h
balance_08.wav,1,264.2920999787748,SHOW ME MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 264.2737999558449}",show me my account balance,0.0,facebook_wav2vec2-base-960h
balance_08.wav,2,286.50009992998093,SHOW ME MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 286.4816999062896}",show me my account balance,0.0,facebook_wav2vec2-base-960h
balance_08.wav,3,305.17930001951754,SHOW ME MY ACCOUNT BALANCE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 305.11369998566806}",show me my account balance,0.0,facebook_wav2vec2-base-960h
balance_09.wav,1,376.6788999782875,COULD I SEE MY ACCOUNT BALANCEPLEASE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 376.6585999401286}",can I see my account balance please,0.4285714285714285,facebook_wav2vec2-base-960h
balance_09.wav,2,288.21129992138594,COULD I SEE MY ACCOUNT BALANCEPLEASE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 288.1895999889821}",can I see my account balance please,0.4285714285714285,facebook_wav2vec2-base-960h
balance_09.wav,3,259.0495999902487,COULD I SEE MY ACCOUNT BALANCEPLEASE,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 259.027500054799}",can I see my account balance please,0.4285714285714285,facebook_wav2vec2-base-960h
balance_10.wav,1,892.5730000482872,YOU SHILL ME LIE CURRENT HELP IANT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 892.5005999626592}",show me my current account balance,0.8333333333333334,facebook_wav2vec2-base-960h
balance_10.wav,2,818.2469999883324,YOU SHILL ME LIE CURRENT HELP IANT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 818.2074999203905}",show me my current account balance,0.8333333333333334,facebook_wav2vec2-base-960h
balance_10.wav,3,825.2061000093818,YOU SHILL ME LIE CURRENT HELP IANT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 825.1769000198692}",show me my current account balance,0.8333333333333334,facebook_wav2vec2-base-960h
card_issues_01.wav,1,811.940599931404,WHY WAS MY CARD DECLIND,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 811.9027999928221}",why was my card declined,0.2,facebook_wav2vec2-base-960h
card_issues_01.wav,2,793.8429999630898,WHY WAS MY CARD DECLIND,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 793.7956999521703}",why was my card declined,0.2,facebook_wav2vec2-base-960h
card_issues_01.wav,3,775.0543999718502,WHY WAS MY CARD DECLIND,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 774.9851000262424}",why was my card declined,0.2,facebook_wav2vec2-base-960h
card_issues_02.wav,1,866.3097000680864,I NEED HELP ACTIGATING MY ALAV,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 866.2733000237495}",I need help activating my scars,0.3333333333333333,facebook_wav2vec2-base-960h
card_issues_02.wav,2,871.2228999938816,I NEED HELP ACTIGATING MY ALAV,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 871.1739000864327}",I need help activating my scars,0.3333333333333333,facebook_wav2vec2-base-960h
card_issues_02.wav,3,767.4751000013202,I NEED HELP ACTIGATING MY ALAV,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 767.4377999501303}",I need help activating my scars,0.3333333333333333,facebook_wav2vec2-base-960h
card_issues_03.wav,1,775.1623999793082,CARD NOT WORKING,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 775.132599985227}",card not working,0.0,facebook_wav2vec2-base-960h
card_issues_03.wav,2,763.7945999158546,CARD NOT WORKING,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 763.7646000366658}",card not working,0.0,facebook_wav2vec2-base-960h
card_issues_03.wav,3,734.214499942027,CARD NOT WORKING,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 734.1836000559852}",card not working,0.0,facebook_wav2vec2-base-960h
card_issues_04.wav,1,764.1718999948353,WHAT ART IF THEN WORKING,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 764.1382999718189}",my card isn't working,1.0,facebook_wav2vec2-base-960h
card_issues_04.wav,2,831.0759000014514,WHAT ART IF THEN WORKING,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 831.0210999334231}",my card isn't working,1.0,facebook_wav2vec2-base-960h
card_issues_04.wav,3,875.2062999410555,WHAT ART IF THEN WORKING,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 875.1691000070423}",my card isn't working,1.0,facebook_wav2vec2-base-960h
card_issues_05.wav,1,790.52700009197,TURN A FIGURE OUT WHY MY PAYMENT WAS DECLINED,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 790.49489996396}",trying to figure out why my payment was declined,0.2222222222222222,facebook_wav2vec2-base-960h
card_issues_05.wav,2,783.1560999620706,TURN A FIGURE OUT WHY MY PAYMENT WAS DECLINED,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 783.126600086689}",trying to figure out why my payment was declined,0.2222222222222222,facebook_wav2vec2-base-960h
card_issues_05.wav,3,792.6688999868929,TURN A FIGURE OUT WHY MY PAYMENT WAS DECLINED,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 792.6383001031354}",trying to figure out why my payment was declined,0.2222222222222222,facebook_wav2vec2-base-960h
cash_deposit_01.wav,1,700.9886000305414,HOW DO I DEPOSIT MONEY INTO MY ACCOW,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 700.9560000151396}",how do I deposit money into my account,0.125,facebook_wav2vec2-base-960h
cash_deposit_01.wav,2,660.1969000184909,HOW DO I DEPOSIT MONEY INTO MY ACCOW,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 660.1648000068963}",how do I deposit money into my account,0.125,facebook_wav2vec2-base-960h
cash_deposit_01.wav,3,740.7474000938237,HOW DO I DEPOSIT MONEY INTO MY ACCOW,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 740.7081000274047}",how do I deposit money into my account,0.125,facebook_wav2vec2-base-960h
cash_deposit_02.wav,1,698.5890999203548,WU'D LIKE TO DEPOSIT MONEY INTO MY ACCOUNT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 698.555100010708}",would you like to deposit money into my account,0.2222222222222222,facebook_wav2vec2-base-960h
cash_deposit_02.wav,2,648.0249000014737,WU'D LIKE TO DEPOSIT MONEY INTO MY ACCOUNT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 647.996100015007}",would you like to deposit money into my account,0.2222222222222222,facebook_wav2vec2-base-960h
cash_deposit_02.wav,3,624.2041999939829,WU'D LIKE TO DEPOSIT MONEY INTO MY ACCOUNT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 624.1810999345034}",would you like to deposit money into my account,0.2222222222222222,facebook_wav2vec2-base-960h
cash_deposit_03.wav,1,767.0182000147179,HOW DO I DEPOSIT MONEY INTO MY ACCOUNT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 766.9854999985546}",how do I deposit money into my account,0.0,facebook_wav2vec2-base-960h
cash_deposit_03.wav,2,762.3424000339583,HOW DO I DEPOSIT MONEY INTO MY ACCOUNT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 762.3060999903828}",how do I deposit money into my account,0.0,facebook_wav2vec2-base-960h
cash_deposit_03.wav,3,758.5213999263942,HOW DO I DEPOSIT MONEY INTO MY ACCOUNT,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 758.4875000175089}",how do I deposit money into my account,0.0,facebook_wav2vec2-base-960h
cash_deposit_04.wav,1,543.9127000281587,CAN I MAKE A CAPAFI,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 543.8734000781551}",can I make a deposit,0.2,facebook_wav2vec2-base-960h
cash_deposit_04.wav,2,546.5437000384554,CAN I MAKE A CAPAFI,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 546.5157999424264}",can I make a deposit,0.2,facebook_wav2vec2-base-960h
cash_deposit_04.wav,3,570.8575000753626,CAN I MAKE A CAPAFI,"{""model_id"": ""facebook/wav2vec2-base-960h"", ""device"": ""cpu"", ""latency_ms"": 570.815599989146}",can I make a deposit,0.2,facebook_wav2vec2-base-960h
