file,run,latency_ms,transcript,meta,reference,wer
atm_limit_01.wav,1,8390.710400000004,How much money can I take out at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8390.692799999997}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,2,8881.942400000014,How much money can I take out at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8881.928300000012}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,3,9153.019799999982,How much money can I take out at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 9153.0123}",how much money can I take out at the ATM,0.0
atm_limit_02.wav,1,8424.315500000006,How much money can I withdraw at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8424.304699999993}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,2,8163.258900000017,How much money can I withdraw at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8163.238199999995}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,3,8061.004999999995,How much money can I withdraw at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8060.993100000019}",how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,1,8085.373099999998,What is my limit at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8085.362099999998}",what is my limit at the ATM,0.0
atm_limit_03.wav,2,7292.009199999995,What is my limit at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 7292.0005}",what is my limit at the ATM,0.0
atm_limit_03.wav,3,7401.841399999995,What is my limit at the ATM?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 7401.833600000004}",what is my limit at the ATM,0.0
balance_01.wav,1,8345.193600000017,Can I see my count Bella?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8345.186000000012}",can you see my account balance,0.5
balance_01.wav,2,8495.084300000002,Can I see my count Bella?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8495.077000000008}",can you see my account balance,0.5
balance_01.wav,3,8021.778000000012,Can I see my count Bella?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 8021.7667}",can you see my account balance,0.5
balance_02.wav,1,7618.380500000001,What is my account balance?,"{""optimization"": ""no_previous_text_conditioning"", ""condition_on_previous_text"": false, ""latency_ms"": 7618.371999999994}",what is my account balance,0.0
