file,run,latency_ms,transcript,meta,reference,wer
atm_limit_01.wav,1,5687.6082,How much money can I take out at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.584, ""trimmed_duration_s"": 2.376, ""removed_duration_s"": 1.2080000000000002, ""vad_latency_ms"": 63.469800000007126, ""whisper_latency_ms"": 5624.061699999998, ""latency_ms"": 5687.573599999979}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,2,5824.793600000021,How much money can I take out at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.584, ""trimmed_duration_s"": 2.376, ""removed_duration_s"": 1.2080000000000002, ""vad_latency_ms"": 65.15290000001528, ""whisper_latency_ms"": 5759.580499999998, ""latency_ms"": 5824.772100000018}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,3,6015.791199999995,How much money can I take out at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.584, ""trimmed_duration_s"": 2.376, ""removed_duration_s"": 1.2080000000000002, ""vad_latency_ms"": 30.47499999999559, ""whisper_latency_ms"": 5985.250699999995, ""latency_ms"": 6015.763300000003}",how much money can I take out at the ATM,0.0
atm_limit_02.wav,1,5758.903999999973,How much money can I withdraw at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.157375, ""trimmed_duration_s"": 2.408, ""removed_duration_s"": 0.7493750000000001, ""vad_latency_ms"": 65.51069999997594, ""whisper_latency_ms"": 5693.334300000004, ""latency_ms"": 5758.889199999999}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,2,5591.510400000005,How much money can I withdraw at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.157375, ""trimmed_duration_s"": 2.408, ""removed_duration_s"": 0.7493750000000001, ""vad_latency_ms"": 30.473799999981566, ""whisper_latency_ms"": 5560.987499999982, ""latency_ms"": 5591.499200000016}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,3,5582.2201000000005,How much money can I withdraw at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.157375, ""trimmed_duration_s"": 2.408, ""removed_duration_s"": 0.7493750000000001, ""vad_latency_ms"": 33.14499999999043, ""whisper_latency_ms"": 5548.89750000001, ""latency_ms"": 5582.076000000001}",how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,1,5516.291199999983,What is my limit at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.754625, ""trimmed_duration_s"": 2.504, ""removed_duration_s"": 1.2506249999999999, ""vad_latency_ms"": 39.657900000008794, ""whisper_latency_ms"": 5476.5092000000095, ""latency_ms"": 5516.205500000013}",what is my limit at the ATM,0.0
atm_limit_03.wav,2,5258.145299999996,What is my limit at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.754625, ""trimmed_duration_s"": 2.504, ""removed_duration_s"": 1.2506249999999999, ""vad_latency_ms"": 43.74859999998648, ""whisper_latency_ms"": 5214.341700000005, ""latency_ms"": 5258.131800000001}",what is my limit at the ATM,0.0
atm_limit_03.wav,3,5455.040099999991,What is my limit at the ATM?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.754625, ""trimmed_duration_s"": 2.504, ""removed_duration_s"": 1.2506249999999999, ""vad_latency_ms"": 62.13629999999171, ""whisper_latency_ms"": 5392.822199999983, ""latency_ms"": 5455.014299999988}",what is my limit at the ATM,0.0
balance_01.wav,1,5129.572199999984,Can I see my count Bella?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 2.816, ""trimmed_duration_s"": 1.608, ""removed_duration_s"": 1.2079999999999997, ""vad_latency_ms"": 20.335500000015827, ""whisper_latency_ms"": 5109.15700000001, ""latency_ms"": 5129.518300000001}",can you see my account balance,0.5
balance_01.wav,2,5424.575000000004,Can I see my count Bella?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 2.816, ""trimmed_duration_s"": 1.608, ""removed_duration_s"": 1.2079999999999997, ""vad_latency_ms"": 26.86209999998823, ""whisper_latency_ms"": 5397.6659999999865, ""latency_ms"": 5424.5588}",can you see my account balance,0.5
balance_01.wav,3,5365.31930000001,Can I see my count Bella?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 2.816, ""trimmed_duration_s"": 1.608, ""removed_duration_s"": 1.2079999999999997, ""vad_latency_ms"": 28.53519999999321, ""whisper_latency_ms"": 5336.71720000001, ""latency_ms"": 5365.291000000014}",can you see my account balance,0.5
balance_02.wav,1,5438.748000000004,What is my account balance?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.413375, ""trimmed_duration_s"": 2.184, ""removed_duration_s"": 1.2293749999999997, ""vad_latency_ms"": 30.472099999997226, ""whisper_latency_ms"": 5408.22639999999, ""latency_ms"": 5438.734900000014}",what is my account balance,0.0
balance_02.wav,2,5431.160200000022,What is my account balance?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.413375, ""trimmed_duration_s"": 2.184, ""removed_duration_s"": 1.2293749999999997, ""vad_latency_ms"": 33.77789999998981, ""whisper_latency_ms"": 5397.277900000006, ""latency_ms"": 5431.091199999997}",what is my account balance,0.0
balance_02.wav,3,5382.1836000000185,What is my account balance?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.413375, ""trimmed_duration_s"": 2.184, ""removed_duration_s"": 1.2293749999999997, ""vad_latency_ms"": 29.707500000000664, ""whisper_latency_ms"": 5352.4298999999755, ""latency_ms"": 5382.16970000002}",what is my account balance,0.0
balance_03.wav,1,6188.532800000019,show me my account balance.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.498625, ""trimmed_duration_s"": 1.832, ""removed_duration_s"": 1.666625, ""vad_latency_ms"": 30.086499999981697, ""whisper_latency_ms"": 6158.394399999963, ""latency_ms"": 6188.517399999966}",show me my account balance,0.0
balance_03.wav,2,6240.498299999956,show me my account balance.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.498625, ""trimmed_duration_s"": 1.832, ""removed_duration_s"": 1.666625, ""vad_latency_ms"": 62.24989999998343, ""whisper_latency_ms"": 6178.178500000002, ""latency_ms"": 6240.46629999998}",show me my account balance,0.0
balance_03.wav,3,5500.879200000043,show me my account balance.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.498625, ""trimmed_duration_s"": 1.832, ""removed_duration_s"": 1.666625, ""vad_latency_ms"": 36.38929999999618, ""whisper_latency_ms"": 5464.407199999982, ""latency_ms"": 5500.84609999999}",show me my account balance,0.0
balance_04.wav,1,6937.490700000012,I would like to know what my current account balance shows.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.242625, ""trimmed_duration_s"": 2.6, ""removed_duration_s"": 0.6426249999999998, ""vad_latency_ms"": 65.3088999999909, ""whisper_latency_ms"": 6872.108500000024, ""latency_ms"": 6937.477300000011}",I would like to know what my current account balance shows,0.0
balance_04.wav,2,6694.024000000013,I would like to know what my current account balance shows.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.242625, ""trimmed_duration_s"": 2.6, ""removed_duration_s"": 0.6426249999999998, ""vad_latency_ms"": 28.42809999998508, ""whisper_latency_ms"": 6665.539300000035, ""latency_ms"": 6694.010900000023}",I would like to know what my current account balance shows,0.0
balance_04.wav,3,6202.28800000001,I would like to know what my current account balance shows.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.242625, ""trimmed_duration_s"": 2.6, ""removed_duration_s"": 0.6426249999999998, ""vad_latency_ms"": 53.504099999997834, ""whisper_latency_ms"": 6148.69520000002, ""latency_ms"": 6202.257900000006}",I would like to know what my current account balance shows,0.0
balance_05.wav,1,5605.937900000015,What's my current balance?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.328, ""trimmed_duration_s"": 1.512, ""removed_duration_s"": 1.8159999999999998, ""vad_latency_ms"": 36.03069999996933, ""whisper_latency_ms"": 5569.828299999983, ""latency_ms"": 5605.89809999999}",what's my current balance,0.0
balance_05.wav,2,5629.245300000037,What's my current balance?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.328, ""trimmed_duration_s"": 1.512, ""removed_duration_s"": 1.8159999999999998, ""vad_latency_ms"": 52.19779999998764, ""whisper_latency_ms"": 5576.982799999996, ""latency_ms"": 5629.229799999962}",what's my current balance,0.0
balance_05.wav,3,5437.637800000004,What's my current balance?,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.328, ""trimmed_duration_s"": 1.512, ""removed_duration_s"": 1.8159999999999998, ""vad_latency_ms"": 30.014900000026046, ""whisper_latency_ms"": 5407.569600000044, ""latency_ms"": 5437.623599999995}",what's my current balance,0.0
balance_06.wav,1,5581.378199999961,Account Balance.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.498625, ""trimmed_duration_s"": 1.352, ""removed_duration_s"": 2.1466250000000002, ""vad_latency_ms"": 37.06190000002607, ""whisper_latency_ms"": 5544.257899999991, ""latency_ms"": 5581.354099999999}",account balance,0.0
balance_06.wav,2,5386.577100000011,Account Balance.,"{""optimization"": ""silero_vad_silence_trimming"", ""speech_detected"": true, ""speech_segment_count"": 1, ""original_duration_s"": 3.498625, ""trimmed_duration_s"": 1.352, ""removed_duration_s"": 2.1466250000000002, ""vad_latency_ms"": 50.57490000001508, ""whisper_latency_ms"": 5335.953000000018, ""latency_ms"": 5386.558500000036}",account balance,0.0
