file,run,latency_ms,transcript,meta,reference,wer
atm_limit_01.wav,1,5960.461600000002,How much money can I take out at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5960.451300000017}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,2,5940.194899999995,How much money can I take out at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5940.186199999999}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,3,5791.133600000023,How much money can I take out at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5791.119800000019}",how much money can I take out at the ATM,0.0
atm_limit_02.wav,1,6177.435499999973,How much money can I withdraw at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 6177.422399999983}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,2,5685.663900000009,How much money can I withdraw at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5685.646399999996}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,3,5537.776100000002,How much money can I withdraw at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5537.767000000003}",how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,1,5437.6300999999785,What is my limit at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5437.62129999999}",what is my limit at the ATM,0.0
atm_limit_03.wav,2,5586.970400000013,What is my limit at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5586.963700000013}",what is my limit at the ATM,0.0
atm_limit_03.wav,3,5422.4098999999915,What is my limit at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5422.402999999975}",what is my limit at the ATM,0.0
balance_01.wav,1,5408.007499999996,Can I see my count Bella?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5407.998899999995}",can you see my account balance,0.5
balance_01.wav,2,5520.714300000009,Can I see my count Bella?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5520.701800000012}",can you see my account balance,0.5
balance_01.wav,3,5363.145199999991,Can I see my count Bella?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5363.137100000017}",can you see my account balance,0.5
balance_02.wav,1,5565.089200000017,What is my account balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5565.076500000004}",what is my account balance,0.0
balance_02.wav,2,5773.155400000007,What is my account balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5773.144599999995}",what is my account balance,0.0
balance_02.wav,3,5822.094899999996,What is my account balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5822.080499999998}",what is my account balance,0.0
balance_03.wav,1,5518.410599999981,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5518.400700000001}",show me my account balance,0.0
balance_03.wav,2,5824.719600000037,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5824.704100000019}",show me my account balance,0.0
balance_03.wav,3,5807.384000000013,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5807.377200000019}",show me my account balance,0.0
balance_04.wav,1,5677.44110000001,I would like to know what my current account balance shows.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5677.433599999972}",I would like to know what my current account balance shows,0.0
balance_04.wav,2,5861.319299999991,I would like to know what my current account balance shows.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5861.305799999968}",I would like to know what my current account balance shows,0.0
balance_04.wav,3,7450.986400000033,I would like to know what my current account balance shows.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 7450.969600000008}",I would like to know what my current account balance shows,0.0
balance_05.wav,1,5722.592099999985,What's my current balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5722.58439999996}",what's my current balance,0.0
balance_05.wav,2,5417.190500000004,What's my current balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5417.174799999998}",what's my current balance,0.0
balance_05.wav,3,5421.52870000001,What's my current balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5421.520100000009}",what's my current balance,0.0
balance_06.wav,1,5316.958800000009,Account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5316.952299999968}",account balance,0.0
balance_06.wav,2,5139.961900000003,Account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5139.954499999987}",account balance,0.0
balance_06.wav,3,5410.923599999989,Account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5410.916899999961}",account balance,0.0
balance_07.wav,1,5904.848299999969,Show me my account balance please.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5904.837499999985}",show me my account balance please,0.0
balance_07.wav,2,5720.39609999996,Show me my account balance please.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5720.3864999999605}",show me my account balance please,0.0
balance_07.wav,3,5882.852200000002,Show me my account balance please.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5882.805899999994}",show me my account balance please,0.0
balance_08.wav,1,5696.453099999985,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5696.441800000002}",show me my account balance,0.0
balance_08.wav,2,5559.926099999984,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5559.915300000001}",show me my account balance,0.0
balance_08.wav,3,5881.106499999987,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5881.096300000025}",show me my account balance,0.0
balance_09.wav,1,5981.163900000012,Could I see my account balance please?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 5981.152699999995}",can I see my account balance please,0.14285714285714285
balance_09.wav,2,6187.65529999996,Could I see my account balance please?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 6187.644199999966}",can I see my account balance please,0.14285714285714285
balance_09.wav,3,6037.08290000003,Could I see my account balance please?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 6037.072500000022}",can I see my account balance please,0.14285714285714285
