language_variety,intent,n_samples,short_le_4s,median_duration_s
en-AU,abroad,35,4,10.16
en-AU,address,52,28,5.7379
en-AU,app_error,42,10,7.8802
en-AU,atm_limit,50,18,7.7134
en-AU,balance,48,27,5.3271
en-AU,business_loan,46,21,6.3553
en-AU,card_issues,48,17,7.3386
en-AU,cash_deposit,43,23,5.7174
en-AU,direct_debit,47,27,5.7174
en-AU,freeze,47,28,5.8514
en-AU,high_value_payment,45,6,9.3866
en-AU,joint_account,49,20,6.4
en-AU,latest_transactions,53,20,6.62
en-AU,pay_bill,49,27,5.2906
en-GB,abroad,46,11,9.3562
en-GB,address,45,26,5.632
en-GB,app_error,41,10,8.96
en-GB,atm_limit,46,18,7.5628
en-GB,balance,42,29,4.9067
en-GB,business_loan,45,23,5.888
en-GB,card_issues,44,12,7.1253
en-GB,cash_deposit,44,23,5.7379
en-GB,direct_debit,42,25,5.2053
en-GB,freeze,36,23,5.0773
en-GB,high_value_payment,41,6,9.1306
en-GB,joint_account,38,23,5.0155
en-GB,latest_transactions,42,18,6.8267
en-GB,pay_bill,40,28,4.7786
en-US,abroad,34,3,11.6907
en-US,address,34,24,4.48
en-US,app_error,42,9,9.5146
en-US,atm_limit,41,16,6.656
en-US,balance,41,34,4.644
en-US,business_loan,39,20,5.8514
en-US,card_issues,46,17,7.8506
en-US,cash_deposit,48,22,6.2688
en-US,direct_debit,36,22,5.2962
en-US,freeze,45,23,5.8026
en-US,high_value_payment,40,2,11.264
en-US,joint_account,42,21,6.2293
en-US,latest_transactions,34,17,6.016
en-US,pay_bill,41,28,4.864
