file,n_runs,mean_latency_ms,median_latency_ms,p95,p99,best_ms,worst_ms,canonical_transcript,reference,wer
atm_limit_01.wav,3,2841.9640333352922,2842.4299000034807,2910.590320000483,2916.6490240002167,2765.2985000022454,2918.16370000015,How much money can I take out at the ATM?,how much money can I take out at the ATM,0.0
atm_limit_02.wav,3,2997.0111666674106,2986.8147000015597,3023.298720001185,3026.5417440011515,2976.8662999995286,3027.352500001143,How much money can I withdraw at the ATM?,how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,3,2948.948133336671,2957.822700001998,3012.504990002344,3017.365638002375,2870.440900005633,3018.5808000023826,What is my limit at the ATM?,what is my limit at the ATM,0.0
balance_01.wav,3,2851.1631333337086,2843.343399996229,2880.17401000252,2883.447842003079,2825.8797000016784,2884.266300003219,Can I see my count Bella?,can you see my account balance,0.5
balance_02.wav,3,2816.1774999995637,2822.6088999945205,2836.7703100011568,2838.0291020017467,2787.579800002277,2838.343800001894,What is my account balance?,what is my account balance,0.0
balance_03.wav,3,2889.238000000963,2846.2108000021544,2973.656740003935,2984.985268004093,2833.6857999966014,2987.8174000041327,Show me my account balance.,show me my account balance,0.0
balance_04.wav,3,3092.4614000032307,3063.7882000009995,3185.618770005385,3196.448154005775,3014.44050000282,3199.1555000058725,I would like to know what my current account balance shows.,I would like to know what my current account balance shows,0.0
balance_05.wav,3,2917.7859666669974,2925.1266999999643,2948.3427399987704,2950.4063879986643,2877.30890000239,2950.9222999986378,What's my current balance?,what's my current balance,0.0
balance_06.wav,3,2837.8153999971496,2803.481999995711,2920.3756199953204,2930.7661639952858,2776.6004000004614,2933.363799995277,Account balance.,account balance,0.0
balance_07.wav,3,2949.171999998119,2927.205899999535,3021.091289998003,3029.436657997867,2888.787099996989,3031.522999997833,Show me my account balance please.,show me my account balance please,0.0
balance_08.wav,3,2956.8870666626026,2905.953099994804,3045.5521899952146,3057.960997995251,2903.644899997744,3061.06319999526,Show me my account balance.,show me my account balance,0.0
balance_09.wav,3,2999.488066668467,3016.644500006805,3018.5694200023136,3018.7405240019143,2963.0363999967813,3018.7833000018145,Could I see my account balance please?,can I see my account balance please,0.14285714285714285
balance_10.wav,3,3001.482766669748,3005.6247000029543,3070.037340000272,3075.7629080000333,2921.629300006316,3077.1942999999737,You show me my current account balance.,show me my current account balance,0.16666666666666666
card_issues_01.wav,3,2922.298933333271,2925.164100000984,2953.4057399985613,2955.916107998346,2885.189000000537,2956.543699998292,Why was my card declined?,why was my card declined,0.0
card_issues_02.wav,3,2961.999833334024,2934.8645999998553,3026.003369999671,3034.1045939996548,2915.005000002566,3036.1298999996507,I need help activating my code.,I need help activating my scars,0.16666666666666666
card_issues_03.wav,3,2930.3488666652506,2935.838999997941,2944.281359996967,2945.03179199688,2909.988200000953,2945.2193999968586,Card not working.,card not working,0.0
card_issues_04.wav,3,2972.207833333717,2953.5982000015792,3005.451699999685,3010.0608999995166,2951.8121000000974,3011.2131999994745,My card isn't working.,my card isn't working,0.0
card_issues_05.wav,3,3170.419400000052,3168.8065999987884,3288.9402200016775,3299.6187640019343,3040.1631999993697,3302.2884000019985,trying to figure out why my payment was declined,trying to figure out why my payment was declined,0.0
cash_deposit_01.wav,3,3051.37656666678,3013.0048999999417,3125.17649000074,3135.147298000811,3003.484799999569,3137.640000000829,How do I deposit money into my account?,how do I deposit money into my account,0.0
cash_deposit_02.wav,3,3313.2205333313323,3194.1363000005367,3633.857939995505,3672.944307995058,3062.809399998514,3682.715899994946,I would like to deposit money into my account.,would you like to deposit money into my account,0.2222222222222222
cash_deposit_03.wav,3,3394.0654999993662,3434.031500000856,3465.4961300031573,3468.292986003362,3279.1727999938303,3468.992200003413,How do I deposit money into my account?,how do I deposit money into my account,0.0
cash_deposit_04.wav,3,3776.115733329789,3740.6709999995655,4031.374959993991,4057.2153119934956,3524.000799996429,4063.6753999933717,Can I make a deposit?,can I make a deposit,0.0
cash_deposit_05.wav,3,3561.5961000027405,3678.9285999984713,3706.792060004227,3709.2688120047387,3295.971700004884,3709.8880000048666,"Hi, I want to deposit money into my savings account.",hi I want to deposit money into my savings account,0.0
cash_deposit_06.wav,3,2978.317666667863,2976.498200005153,2999.5919299959496,3001.6447059951315,2956.296900003508,3002.157899994927,I'd like to make a deposit.,I'd like to make a deposit,0.0
cash_deposit_07.wav,3,2939.4513000006555,2929.7157999972114,2975.28892000264,2979.339864003123,2908.2855000015115,2980.3526000032434,Deposit money into account.,deposit money into account,0.0
cash_deposit_08.wav,3,2959.626666670374,2965.204400003131,2988.1078700054786,2990.1437340056873,2923.022900002252,2990.6527000057395,Where can I deposit money?,where can I deposit money,0.0
cash_deposit_09.wav,3,2984.2328333324986,2974.0320999990217,3011.3482600027055,3014.665252003033,2963.171899995359,3015.494500003115,How can I make a deposit?,how can I make a deposit,0.0
cash_deposit_10.wav,3,3021.0379666653657,3039.7913999986486,3040.9503299961216,3041.053345995897,2982.2434000016074,3041.079099995841,I'd like to deposit money into my account.,I'd like to deposit money into my account,0.0
latest_transactions_01.wav,3,3069.7626333324783,3072.0021999950404,3090.028029998939,3091.6303259992856,3045.254800003022,3092.030899999372,I'm talking about recent transactions on my card.,tell me about recent transactions on my card,0.25
