file,run,latency_ms,transcript,meta,reference,wer
atm_limit_01.wav,1,2765.2985000022454,How much money can I take out at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2765.2822000018205}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,2,2842.4299000034807,How much money can I take out at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2842.4225999988266}",how much money can I take out at the ATM,0.0
atm_limit_01.wav,3,2918.16370000015,How much money can I take out at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2918.1588999999803}",how much money can I take out at the ATM,0.0
atm_limit_02.wav,1,3027.352500001143,How much money can I withdraw at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 3027.3474999994505}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,2,2986.8147000015597,How much money can I withdraw at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2986.8095999991056}",how much money can I withdraw at the ATM,0.0
atm_limit_02.wav,3,2976.8662999995286,How much money can I withdraw at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2976.860700000543}",how much money can I withdraw at the ATM,0.0
atm_limit_03.wav,1,2957.822700001998,What is my limit at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2957.817399998021}",what is my limit at the ATM,0.0
atm_limit_03.wav,2,2870.440900005633,What is my limit at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2870.4360999981873}",what is my limit at the ATM,0.0
atm_limit_03.wav,3,3018.5808000023826,What is my limit at the ATM?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 3018.575399997644}",what is my limit at the ATM,0.0
balance_01.wav,1,2825.8797000016784,Can I see my count Bella?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2825.87390000117}",can you see my account balance,0.5
balance_01.wav,2,2884.266300003219,Can I see my count Bella?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2884.261200000765}",can you see my account balance,0.5
balance_01.wav,3,2843.343399996229,Can I see my count Bella?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2843.337500002235}",can you see my account balance,0.5
balance_02.wav,1,2822.6088999945205,What is my account balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2822.5963000004413}",what is my account balance,0.0
balance_02.wav,2,2787.579800002277,What is my account balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2787.5717999995686}",what is my account balance,0.0
balance_02.wav,3,2838.343800001894,What is my account balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2838.3384000044316}",what is my account balance,0.0
balance_03.wav,1,2846.2108000021544,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2846.2049000008847}",show me my account balance,0.0
balance_03.wav,2,2833.6857999966014,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2833.6802999983774}",show me my account balance,0.0
balance_03.wav,3,2987.8174000041327,Show me my account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2987.8115999963484}",show me my account balance,0.0
balance_04.wav,1,3063.7882000009995,I would like to know what my current account balance shows.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 3063.7822999997297}",I would like to know what my current account balance shows,0.0
balance_04.wav,2,3014.44050000282,I would like to know what my current account balance shows.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 3014.4350999980816}",I would like to know what my current account balance shows,0.0
balance_04.wav,3,3199.1555000058725,I would like to know what my current account balance shows.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 3199.1497999988496}",I would like to know what my current account balance shows,0.0
balance_05.wav,1,2925.1266999999643,What's my current balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2925.1208000059705}",what's my current balance,0.0
balance_05.wav,2,2877.30890000239,What's my current balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2877.304199995706}",what's my current balance,0.0
balance_05.wav,3,2950.9222999986378,What's my current balance?,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2950.9169000011752}",what's my current balance,0.0
balance_06.wav,1,2776.6004000004614,Account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2776.5947000007145}",account balance,0.0
balance_06.wav,2,2803.481999995711,Account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2803.4771000020555}",account balance,0.0
balance_06.wav,3,2933.363799995277,Account balance.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2933.3580000020447}",account balance,0.0
balance_07.wav,1,3031.522999997833,Show me my account balance please.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 3031.517499999609}",show me my account balance please,0.0
balance_07.wav,2,2927.205899999535,Show me my account balance please.,"{""model_size"": ""small"", ""device"": ""cpu"", ""latency_ms"": 2927.199899997504}",show me my account balance please,0.0
