file,n_runs,mean_latency_ms,median_latency_ms,p95,p99,best_ms,worst_ms,canonical_transcript,wer,model,reference
atm_limit_01.wav,3,344.2751667074238,355.89500004425645,356.64749001152813,356.7143780086189,320.1994000701234,356.73110000789165,HOW MUCH MONEY CAN I THIK OUT ATHIATHIA,0.4,facebook_wav2vec2-base-960h,how much money can I take out at the ATM
atm_limit_02.wav,3,224.77660002186892,217.31310000177476,249.27470998372883,252.11574198212475,204.1907000821084,252.82599998172373,HOW MUCH MONEY CAN I WITHDRAW AT THE A T M,0.3333333333333333,facebook_wav2vec2-base-960h,how much money can I withdraw at the ATM
atm_limit_03.wav,3,281.6713332819442,282.2699999669567,292.76921997079626,293.70248397113755,268.80819990765303,293.9357999712229,WHAT IS MY LIMIT AT THE EIGTM,0.14285714285714285,facebook_wav2vec2-base-960h,what is my limit at the ATM
balance_01.wav,3,238.052966655232,238.2465999107808,256.0470699798316,257.6293339859694,217.88740006741136,258.0248999875039,GIM MA THING MIGHT COUNT BALLA,1.0,facebook_wav2vec2-base-960h,can you see my account balance
balance_02.wav,3,263.1375999966015,262.5963999889791,287.1448899968527,289.3269779975526,236.94390000309795,289.8724999977276,WHAT IS MY ACCOUNT BALANCE,0.0,facebook_wav2vec2-base-960h,what is my account balance
balance_03.wav,3,272.2377000221361,274.46580003015697,285.1668899995275,286.11809799680486,255.8914000401273,286.3558999961242,SHOW ME MY ACCOUNT BALANCE,0.0,facebook_wav2vec2-base-960h,show me my account balance
balance_04.wav,3,275.6683999905363,281.9301999406889,289.7288800217211,290.422096028924,254.4796000001952,290.5954000307247,I WOULD LIKE TO KNOW WHAT MY CURRENT ACCOUNT BALANCE SHOWS,0.0,facebook_wav2vec2-base-960h,I would like to know what my current account balance shows
balance_05.wav,3,295.7854333411281,307.543299975805,308.29138001427054,308.3578760176897,271.4385000290349,308.3745000185445,WHAT'S MY CURRENT BALANTH,0.25,facebook_wav2vec2-base-960h,what's my current balance
balance_06.wav,3,274.4684333447367,279.1090999962762,281.4900500001386,281.7016900004819,262.5416000373661,281.75460000056773,ACCOUNT BALANCE,0.0,facebook_wav2vec2-base-960h,account balance
balance_07.wav,3,214.3470666681727,206.00270002614707,229.14503001375124,231.2021260126494,205.32209996599704,231.71640001237392,SHOW ME MY ACCOUNT BALANCE PLEASE,0.0,facebook_wav2vec2-base-960h,show me my account balance please
balance_08.wav,3,285.3238333094244,286.50009992998093,303.3113800105639,304.8057160177268,264.2920999787748,305.17930001951754,SHOW ME MY ACCOUNT BALANCE,0.0,facebook_wav2vec2-base-960h,show me my account balance
balance_09.wav,3,307.9799332966407,288.21129992138594,367.83213997259736,374.9095479771495,259.0495999902487,376.6788999782875,COULD I SEE MY ACCOUNT BALANCEPLEASE,0.42857142857142855,facebook_wav2vec2-base-960h,can I see my account balance please
balance_10.wav,3,845.3420333486671,825.2061000093818,885.8363100443967,891.2256620475091,818.2469999883324,892.5730000482872,YOU SHILL ME LIE CURRENT HELP IANT,0.8333333333333334,facebook_wav2vec2-base-960h,show me my current account balance
card_issues_01.wav,3,793.6126666221147,793.8429999630898,810.1308399345726,811.5786479320377,775.0543999718502,811.940599931404,WHY WAS MY CARD DECLIND,0.2,facebook_wav2vec2-base-960h,why was my card declined
card_issues_02.wav,3,835.0025666877627,866.3097000680864,870.7315800013021,871.1246359953657,767.4751000013202,871.2228999938816,I NEED HELP ACTIGATING MY ALAV,0.3333333333333333,facebook_wav2vec2-base-960h,I need help activating my scars
card_issues_03.wav,3,757.7238332790633,763.7945999158546,774.0256199729629,774.9350439780392,734.214499942027,775.1623999793082,CARD NOT WORKING,0.0,facebook_wav2vec2-base-960h,card not working
card_issues_04.wav,3,823.484699979114,831.0759000014514,870.7932599470951,874.3236919422634,764.1718999948353,875.2062999410555,WHAT ART IF THEN WORKING,1.0,facebook_wav2vec2-base-960h,my card isn't working
card_issues_05.wav,3,788.7840000136445,790.52700009197,792.4547099974006,792.6260619889945,783.1560999620706,792.6688999868929,TURN A FIGURE OUT WHY MY PAYMENT WAS DECLINED,0.2222222222222222,facebook_wav2vec2-base-960h,trying to figure out why my payment was declined
cash_deposit_01.wav,3,700.6443000476187,700.9886000305414,736.7715200874954,739.952224092558,660.1969000184909,740.7474000938237,HOW DO I DEPOSIT MONEY INTO MY ACCOW,0.125,facebook_wav2vec2-base-960h,how do I deposit money into my account
cash_deposit_02.wav,3,656.9393999719372,648.0249000014737,693.5326799284667,697.5778159219772,624.2041999939829,698.5890999203548,WU'D LIKE TO DEPOSIT MONEY INTO MY ACCOUNT,0.2222222222222222,facebook_wav2vec2-base-960h,would you like to deposit money into my account
cash_deposit_03.wav,3,762.6273333250234,762.3424000339583,766.5506200166419,766.9246840151027,758.5213999263942,767.0182000147179,HOW DO I DEPOSIT MONEY INTO MY ACCOUNT,0.0,facebook_wav2vec2-base-960h,how do I deposit money into my account
cash_deposit_04.wav,3,553.7713000473256,546.5437000384554,568.4261200716719,570.3712240746245,543.9127000281587,570.8575000753626,CAN I MAKE A CAPAFI,0.2,facebook_wav2vec2-base-960h,can I make a deposit
