file,run,latency_ms,transcript,meta,reference,wer
atm_limit_01.wav,1,1633.1527000293136,how much money can i say l at eight pm,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1409.315799945034}",how much money can I take out at the ATM,0.4
atm_limit_01.wav,2,1667.86459996365,how much money can i say l at eight pm,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1452.0993999904022}",how much money can I take out at the ATM,0.4
atm_limit_01.wav,3,1802.2696999832988,how much money can i say l at eight pm,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1583.7998000206426}",how much money can I take out at the ATM,0.4
atm_limit_02.wav,1,1469.5906999986619,how much money to withdraw the a m,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1238.4233999764547}",how much money can I withdraw at the ATM,0.5555555555555556
atm_limit_02.wav,2,1530.6504999753088,how much money to withdraw the a m,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1297.9184000287205}",how much money can I withdraw at the ATM,0.5555555555555556
atm_limit_02.wav,3,1496.898900019005,how much money to withdraw the a m,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1293.107399949804}",how much money can I withdraw at the ATM,0.5555555555555556
atm_limit_03.wav,1,1424.344199942425,what is my limit at the hm,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1189.8027999559417}",what is my limit at the ATM,0.14285714285714285
atm_limit_03.wav,2,1466.0399000858888,what is my limit at the hm,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1246.7822999460623}",what is my limit at the ATM,0.14285714285714285
atm_limit_03.wav,3,1485.2489000186324,what is my limit at the hm,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1255.2429999923334}",what is my limit at the ATM,0.14285714285714285
balance_01.wav,1,1517.122899997048,he my count bella,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1306.6709000850096}",can you see my account balance,0.8333333333333334
balance_01.wav,2,1498.557599959895,in my count bella,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1268.369600060396}",can you see my account balance,0.8333333333333334
balance_01.wav,3,1476.6592000378296,in my count bella,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1226.6554000088945}",can you see my account balance,0.8333333333333334
balance_02.wav,1,1267.2085999511182,what is my account balance,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1048.2889999402687}",what is my account balance,0.0
balance_02.wav,2,1265.0901000015438,what is my account balance,"{""model_path"": ""bench/models/vosk/vosk-model-small-en-us-0.15"", ""device"": ""cpu"", ""latency_ms"": 1044.2259999690577}",what is my account balance,0.0
