language_variety,intent,duration_bucket,n_samples,mean_duration_s,median_duration_s,min_duration_s,max_duration_s
en-AU,abroad,>4–8 s,10,6.17,6.76,4.1,7.6
en-AU,abroad,>8 s,25,13.6384,12.64,8.52,22.7
en-AU,address,>2–4 s,10,3.5149,3.6459,2.8792,3.9254
en-AU,address,>4–8 s,30,5.6623,5.5894,4.0868,7.936
en-AU,address,>8 s,12,16.27,12.0532,8.34,57.3998
en-AU,app_error,>2–4 s,6,3.3835,3.3785,2.6454,3.9254
en-AU,app_error,>4–8 s,15,6.3207,6.3146,4.608,7.68
en-AU,app_error,>8 s,21,13.9445,11.264,8.0805,24.576
en-AU,atm_limit,>2–4 s,4,3.7272,3.7425,3.4986,3.9254
en-AU,atm_limit,>4–8 s,21,5.5203,5.387,4.0868,7.2534
en-AU,atm_limit,>8 s,25,14.1386,12.8,8.1734,28.2454
en-AU,balance,>2–4 s,14,3.5347,3.6267,2.6454,3.9939
en-AU,balance,>4–8 s,24,5.7212,5.5986,4.096,7.9876
en-AU,balance,>8 s,10,12.5133,11.23,8.0214,22.3574
en-AU,business_loan,>2–4 s,8,3.368,3.6496,2.322,3.9254
en-AU,business_loan,>4–8 s,19,5.5284,5.376,4.1814,7.3386
en-AU,business_loan,>8 s,19,11.4203,10.1546,8.192,20.3946
en-AU,card_issues,>2–4 s,7,3.1873,3.328,2.3894,3.901
en-AU,card_issues,>4–8 s,22,6.3646,6.4427,4.096,7.8
en-AU,card_issues,>8 s,19,12.4907,10.96,8.0214,21.1626
en-AU,cash_deposit,>2–4 s,9,3.2092,3.2508,2.2291,3.901
en-AU,cash_deposit,>4–8 s,24,5.8445,5.7174,4.096,7.8506
en-AU,cash_deposit,>8 s,10,16.3016,13.736,8.8236,29.2694
en-AU,direct_debit,>2–4 s,11,3.2704,3.328,2.1362,3.9939
en-AU,direct_debit,>4–8 s,20,5.5116,5.5597,4.1796,7.68
en-AU,direct_debit,>8 s,16,14.4034,13.696,8.7308,23.5915
en-AU,freeze,>2–4 s,10,3.2019,3.2894,2.4149,3.7546
en-AU,freeze,>4–8 s,25,5.6135,5.5466,4.0106,7.8948
en-AU,freeze,>8 s,12,14.5079,13.952,8.3626,19.8762
en-AU,high_value_payment,>2–4 s,3,2.9483,2.7864,2.7306,3.328
en-AU,high_value_payment,>4–8 s,11,6.8009,7.2534,5.2906,7.936
en-AU,high_value_payment,>8 s,31,14.6689,11.04,8.3626,40.704
en-AU,joint_account,>2–4 s,5,3.0736,3.1574,2.2186,3.6694
en-AU,joint_account,>4–8 s,28,5.6726,5.76,4.0106,7.936
en-AU,joint_account,>8 s,16,12.3626,10.7093,8.42,24.064
en-AU,latest_transactions,>2–4 s,7,3.2072,3.1579,2.7306,3.8081
en-AU,latest_transactions,>4–8 s,25,5.7517,6.0,4.0106,7.8948
en-AU,latest_transactions,>8 s,21,13.6859,13.5605,8.192,22.016
en-AU,pay_bill,≤2 s,2,1.9566,1.9566,1.9505,1.9626
en-AU,pay_bill,>2–4 s,13,3.0419,3.2426,2.1334,3.84
en-AU,pay_bill,>4–8 s,24,5.9292,5.888,4.1796,7.936
en-AU,pay_bill,>8 s,10,13.5033,10.9337,8.12,25.9414
en-GB,abroad,>2–4 s,2,3.584,3.584,3.328,3.84
en-GB,abroad,>4–8 s,15,5.8628,5.8026,4.2666,7.7654
en-GB,abroad,>8 s,29,14.9976,12.2026,8.0214,63.8294
en-GB,address,>2–4 s,10,3.2146,3.2,2.56,3.901
en-GB,address,>4–8 s,24,5.714,5.632,4.2666,7.936
en-GB,address,>8 s,11,12.6358,13.7386,8.3626,16.7254
en-GB,app_error,>2–4 s,2,3.2427,3.2427,2.816,3.6694
en-GB,app_error,>4–8 s,16,6.1498,6.016,4.352,7.7654
en-GB,app_error,>8 s,23,13.9349,15.0186,8.6186,18.2614
en-GB,atm_limit,>2–4 s,3,3.2996,3.4134,2.9014,3.584
en-GB,atm_limit,>4–8 s,22,5.7951,5.2962,4.5226,7.8506
en-GB,atm_limit,>8 s,21,13.269,11.7029,8.3626,29.7814
en-GB,balance,>2–4 s,13,3.3621,3.328,2.9014,3.9254
en-GB,balance,>4–8 s,20,5.207,5.0715,4.0106,6.4854
en-GB,balance,>8 s,9,11.1108,11.008,8.448,14.2506
en-GB,business_loan,>2–4 s,6,2.9261,2.9329,2.3894,3.4134
en-GB,business_loan,>4–8 s,24,5.47,5.12,4.1814,7.7654
en-GB,business_loan,>8 s,15,12.6854,12.9706,8.1066,18.2614
en-GB,card_issues,>2–4 s,3,2.7875,2.7306,2.56,3.072
en-GB,card_issues,>4–8 s,22,6.1184,6.1013,4.5226,7.8019
en-GB,card_issues,>8 s,19,14.2697,14.4214,8.448,23.963
en-GB,cash_deposit,>2–4 s,4,3.1146,2.9866,2.7306,3.7546
en-GB,cash_deposit,>4–8 s,30,5.4029,4.8858,4.1814,7.936
en-GB,cash_deposit,>8 s,10,13.6745,11.7029,9.216,25.2586
en-GB,direct_debit,>2–4 s,9,3.291,3.2426,2.816,3.9254
en-GB,direct_debit,>4–8 s,22,5.4231,5.0773,4.0106,7.8506
en-GB,direct_debit,>8 s,11,14.4691,13.9946,8.2774,23.6374
